EMPRES-i Plus,,,,,,,,,,,,,,,,,
Date downloaded: 24/10/2023 21:26,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Filters,,,,,,,,,,,,,,,,,
Disease: West Nile Fever,,,,,,,,,,,,,,,,,
Region: Europe,,,,,,,,,,,,,,,,,
Subregion: All,,,,,,,,,,,,,,,,,
Diagnosis source: All,,,,,,,,,,,,,,,,,
Diagnosis status: All,,,,,,,,,,,,,,,,,
Animal type: All,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Event.ID,Disease,Serotype,Region,Subregion,Country,Admin.level.1,Locality,Latitude,Longitude,Diagnosis.source,Diagnosis.status,Animal.type,Species,Observation.date..dd.mm.yyyy.,Report.date..dd.mm.yyyy.,Humans.affected,Human.deaths
331499,West Nile Fever,,Europe,Western Europe,Germany,Berlin,Berlin,52.48,13.46,OIE,Confirmed,Wild,Passeridae (Unidentified):Passeridae (Incognita)(Passeridae),31/08/2022,16/09/2022,,
332867,West Nile Fever,,Europe,Western Europe,Germany,Berlin,Berlin,52.5,13.33,OIE,Confirmed,Wild,Strigidae (Unidentified):Strigidae (Incognita)(Strigidae),31/08/2022,05/10/2022,,
331500,West Nile Fever,,Europe,Western Europe,Germany,Brandenburg,Treuenbrietzen,52.07,12.95,OIE,Confirmed,Wild,Accipitridae (Unidentified):Accipitridae (Incognita)(Accipitridae),30/08/2022,16/09/2022,,
332866,West Nile Fever,,Europe,Western Europe,Germany,Berlin,Berlin,52.54,13.37,OIE,Confirmed,Wild,Cervidae,30/08/2022,05/10/2022,,
332866,West Nile Fever,,Europe,Western Europe,Germany,Berlin,Berlin,52.54,13.37,OIE,Confirmed,Wild,Accipitridae (Unidentified):Accipitridae (Incognita)(Accipitridae),30/08/2022,05/10/2022,,
330732,West Nile Fever,,Europe,Western Europe,Germany,Berlin,Berlin,52.5,13.33,OIE,Confirmed,Wild,Passeridae (Unidentified):Passeridae (Incognita)(Passeridae),29/08/2022,06/09/2022,,
345736,West Nile Fever,,Europe,Western Europe,Germany,Thueringen,Erfurt,51.02,11.02,OIE,Confirmed,Wild,Parrot,28/08/2022,17/02/2023,,
331503,West Nile Fever,,Europe,Western Europe,Germany,Thueringen,Erfurt,50.99,10.98,OIE,Confirmed,Domestic,Equidae,27/08/2022,16/09/2022,,
330759,West Nile Fever,,Europe,Western Europe,Germany,Hamburg,Hamburg,53.47,10.08,OIE,Confirmed,Domestic,Equidae,26/08/2022,07/09/2022,,
331501,West Nile Fever,,Europe,Western Europe,Germany,Brandenburg,Mittenwalde,52.27,13.51,OIE,Confirmed,Domestic,Equidae,25/08/2022,16/09/2022,,
330752,West Nile Fever,,Europe,Western Europe,Germany,Sachsen-Anhalt,Weißenfels,51.19,11.94,OIE,Confirmed,Wild,Passeridae (Unidentified):Passeridae (Incognita)(Passeridae),24/08/2022,07/09/2022,,
330525,West Nile Fever,,Europe,Western Europe,Austria,Niederosterreich,Korneuburg,48.29,16.46,OIE,Confirmed,Domestic,Equidae,23/08/2022,02/09/2022,,
330755,West Nile Fever,,Europe,Western Europe,Germany,Sachsen-Anhalt,Jessen (Elster),51.79,12.86,OIE,Confirmed,Wild,Passeridae (Unidentified):Passeridae (Incognita)(Passeridae),23/08/2022,07/09/2022,,
330758,West Nile Fever,,Europe,Western Europe,Germany,Sachsen,Dresden,51.03,13.75,OIE,Confirmed,Wild,Strigidae (Unidentified):Strigidae (Incognita)(Strigidae),23/08/2022,07/09/2022,,
